"file","golden","symbols"
"fixtures/corpus/av_unc_reads_own_uncertainty.frees","true","uncertaintyof"
"fixtures/corpus/av_unc_redeclared.frees","true","uncertaintyof"
"fixtures/corpus/av_unc_rhs_form_not_a_declaration.frees","true","uncertaintyof"
"fixtures/corpus/av_unc_shared_source_correlates.frees","true","uncertaintyof"
"fixtures/corpus/av_unc_square_law.frees","true","uncertaintyof"
"fixtures/corpus/av_unc_string_target.frees","true","uncertaintyof"
"fixtures/corpus/av_unc_through_nonlinear_block.frees","true","uncertaintyof"
"fixtures/corpus/av_unc_two_args_not_a_declaration.frees","true","uncertaintyof"
"fixtures/corpus/av_unc_two_sources_rss.frees","true","uncertaintyof"
"fixtures/corpus/av_unc_undeclared.frees","true","uncertaintyof"
"fixtures/corpus/av_unc_with_integral.frees","true","integral;uncertaintyof"
"fixtures/corpus/av_unc_with_transient.frees","true","uncertaintyof;odevalue;finalvalue"
"fixtures/corpus/av_unc_zero_becomes_source.frees","true","uncertaintyof"
"fixtures/corpus/av_unc_zero_uncertainty.frees","true","uncertaintyof"
"fixtures/corpus/bitwise-and-special-math-test-base-convert.frees","true","baseconvert"
"fixtures/corpus/bitwise-and-special-math-test-bessel-i.frees","true","besseli"
"fixtures/corpus/bitwise-and-special-math-test-bitwise-operations.frees","true","bitand;bitor;bitxor;bitnot;bitshiftl;bitshiftr"
"fixtures/corpus/bitwise-and-special-math-test-cs-number-theory.frees","true","mod;gcd;lcm"
"fixtures/corpus/bitwise-and-special-math-test-new-bessel-and-chi-square.frees","true","chi_square;bessely;besselk;besselj0;besselj1;bessely0;bessely1;besseli0;besseli1;besselk0;besselk1"
"fixtures/corpus/bitwise-and-special-math-test-special-math-functions.frees","true","gamma;loggamma;beta;erf;erfc;erfinv;besselj"
"fixtures/corpus/brayton-cycle.frees","true",""
"fixtures/corpus/browser_matrix_function_table.frees","true","SolveLinear"
"fixtures/corpus/call_cholesky.frees","true","cholesky"
"fixtures/corpus/call_cholesky_3x3.frees","true","cholesky"
"fixtures/corpus/call_convolve.frees","true",""
"fixtures/corpus/call_convolve_bare_outputs.frees","true",""
"fixtures/corpus/call_convolve_wrong_output_length_rejected.frees","true",""
"fixtures/corpus/call_fft.frees","true",""
"fixtures/corpus/call_fft_bare_outputs.frees","true",""
"fixtures/corpus/call_fft_feeds_expression.frees","true","sqrt"
"fixtures/corpus/call_fft_length_mismatch_rejected.frees","true",""
"fixtures/corpus/call_fft_over_equation_budget_rejected.frees","true","zeros;linspace"
"fixtures/corpus/call_fft_single_vector_rejected.frees","true",""
"fixtures/corpus/call_ifft_roundtrip.frees","true",""
"fixtures/corpus/call_inside_function_rejected.frees","true","pole"
"fixtures/corpus/call_interp2_explicit_slices.frees","true",""
"fixtures/corpus/call_interp2_range_on_scalar_output_rejected.frees","true",""
"fixtures/corpus/call_kernels_mixed.frees","true",""
"fixtures/corpus/call_linfit.frees","true",""
"fixtures/corpus/call_linfit_length_mismatch_rejected.frees","true",""
"fixtures/corpus/call_linfit_noisy.frees","true",""
"fixtures/corpus/call_linfit_omitted_b_and_r2.frees","true",""
"fixtures/corpus/call_linfit_omitted_r2.frees","true",""
"fixtures/corpus/call_ludecompose.frees","true","LUDecompose"
"fixtures/corpus/call_matexp.frees","true","matexp"
"fixtures/corpus/call_matexp_nilpotent.frees","true","matexp"
"fixtures/corpus/call_matexp_nonsquare_rejected.frees","true","matexp"
"fixtures/corpus/call_matexp_rotation.frees","true","matexp"
"fixtures/corpus/call_polyfit.frees","true",""
"fixtures/corpus/call_polyfit_degree_from_constant.frees","true",""
"fixtures/corpus/call_polyfit_linear.frees","true",""
"fixtures/corpus/call_polyfit_negative_degree_rejected.frees","true",""
"fixtures/corpus/call_polyfit_short_coefficients_rejected.frees","true",""
"fixtures/corpus/call_qr.frees","true","qr"
"fixtures/corpus/call_qr_over_equation_budget_rejected.frees","true","qr;eye"
"fixtures/corpus/call_qr_rectangular.frees","true","qr"
"fixtures/corpus/call_qr_scalar_input_rejected.frees","true","qr"
"fixtures/corpus/call_qr_vector_input_rejected.frees","true","qr"
"fixtures/corpus/call_qr_wide.frees","true","qr"
"fixtures/corpus/call_qr_wrong_q_shape_rejected.frees","true","qr"
"fixtures/corpus/call_singularvalues_descending.frees","true",""
"fixtures/corpus/call_singularvalues_rectangular.frees","true",""
"fixtures/corpus/call_singularvalues_wrong_length_rejected.frees","true",""
"fixtures/corpus/call_svd.frees","true","svd"
"fixtures/corpus/call_svd_symmetric.frees","true","svd"
"fixtures/corpus/call_svd_wrong_shapes_rejected.frees","true","svd"
"fixtures/corpus/callauto-eigenvalues-sized-from-matrix-dimension-2.frees","true","Eigenvalues"
"fixtures/corpus/callauto-eigenvalues-sized-from-matrix-dimension.frees","true","Eigenvalues"
"fixtures/corpus/canonical.frees","true",""
"fixtures/corpus/case_insensitive.frees","true",""
"fixtures/corpus/cd-nozzle-shock.frees","true","t0_t;p0_p;mach_a_astar;m2_shock;p2_p1_shock;p02_p01_shock"
"fixtures/corpus/chem_equilibrium.frees","true","eq_molefraction;adiabaticflametempeq"
"fixtures/corpus/chem_errors.frees","true",""
"fixtures/corpus/chem_flame_temp.frees","true","adiabaticflametemp"
"fixtures/corpus/chem_heating_value.frees","true",""
"fixtures/corpus/chem_idealgas.frees","true","compressibility;cp;cv;density;enthalpy;entropy;gibbs;intenergy;specheat;temperature;volume"
"fixtures/corpus/chem_mixture.frees","true","mix_mw;mix_cp;mix_enthalpy;mix_entropy"
"fixtures/corpus/chem_molar_mass.frees","true",""
"fixtures/corpus/chem_nasa7.frees","true","mix_cp;mix_enthalpy;mix_entropy"
"fixtures/corpus/chgclosed-charge-chain-is-well-posed.frees","true","TwoPhaseCondenserUA;TwoPhaseEnthalpySource;TwoPhaseSink"
"fixtures/corpus/chgclosed-condensing-pressure-floats-with-ambient-and-charge-2.frees","true","TwoPhaseCondenserUA;TwoPhaseEnthalpySource;TwoPhaseSink"
"fixtures/corpus/chgclosed-condensing-pressure-floats-with-ambient-and-charge.frees","true","TwoPhaseCondenserUA;TwoPhaseEnthalpySource;TwoPhaseSink"
"fixtures/corpus/chiller-chiller-cools-the-coolant-loop.frees","true","Chiller;LiquidSink;LiquidSource;TwoPhaseSink;TwoPhaseSource"
"fixtures/corpus/chiller-higher-refrigerant-flow-delivers-more-cooling-2.frees","true","Chiller;LiquidSink;LiquidSource;TwoPhaseSink;TwoPhaseSource"
"fixtures/corpus/chiller-higher-refrigerant-flow-delivers-more-cooling.frees","true","Chiller;LiquidSink;LiquidSource;TwoPhaseSink;TwoPhaseSource"
"fixtures/corpus/closed-loop-attempt-closed-loop-is-structurally-well-posed.frees","true","cond;density;enthalpy;entropy;TwoPhaseMixer;TXV"
"fixtures/corpus/closed-loop-dynamic-integrate-to-steady.frees","true","min;cond;density;enthalpy;entropy;TwoPhaseMixer;TXV"
"fixtures/corpus/closedloop-measure-dof-2.frees","true","exp;enthalpy"
