"name","families","domain","page","tier","boundExamples","runnableHits","allHits"
"besselk0","functions","Special Functions","web/src/docs/reference/special-functions/besselk0.md","rich","","","docs/reference/special-functions/besselk0.md:2"
"besselk1","functions","Special Functions","web/src/docs/reference/special-functions/besselk1.md","rich","","","docs/reference/special-functions/besselk1.md:2"
"chebyshevt","functions","Special Functions","web/src/docs/reference/special-functions/chebyshevt.md","rich","","","docs/reference/special-functions/chebyshevt.md:2"
"chebyshevu","functions","Special Functions","web/src/docs/reference/special-functions/chebyshevu.md","rich","","","docs/reference/special-functions/chebyshevu.md:2"
"hermiteh","functions","Special Functions","web/src/docs/reference/special-functions/hermiteh.md","rich","","","docs/reference/special-functions/hermiteh.md:2"
"laguerrel","functions","Special Functions","web/src/docs/reference/special-functions/laguerrel.md","rich","","","docs/reference/special-functions/laguerrel.md:2"
"legendrep","functions","Special Functions","web/src/docs/reference/special-functions/legendrep.md","rich","","","docs/reference/special-functions/legendrep.md:2"
"integral","functions","Calculus","web/src/docs/reference/calculus/integral.md","rich","tank-draining;newton-cooling","gallery:tank-draining;gallery:newton-cooling;help-cycle:paris-fatigue;docs/advanced_solving.md:2","gallery:tank-draining;gallery:newton-cooling;help-cycle:paris-fatigue;docs/advanced_solving.md:1;docs/advanced_solving.md:2"
"gaussintegral","functions","Calculus","web/src/docs/reference/calculus/gaussintegral.md","reference","","",""
"differentiate","functions","Calculus","web/src/docs/reference/calculus/differentiate.md","reference","","",""
"integralvalue","functions","Calculus","web/src/docs/reference/accessors/IntegralValue.md","rich","driving-cycle-energy","gallery:driving-cycle-energy","gallery:driving-cycle-energy;docs/programming_logic.md:7"
"uncertaintyof","functions","Calculus","web/src/docs/reference/calculus/uncertaintyof.md","reference","","docs/tutorials.md:17","docs/language_fundamentals.md:8;docs/tutorials.md:16;docs/tutorials.md:17"
"interpolate","functions","Interpolation","web/src/docs/reference/interpolation/interpolate.md","stub","","",""
"interpolate1","functions","Interpolation","web/src/docs/reference/interpolation/interpolate1.md","stub","","",""
"interpolate2d","functions","Interpolation","web/src/docs/reference/interpolation/interpolate2d.md","rich","engine-map-2d","gallery:engine-map-2d","gallery:engine-map-2d;docs/programming_logic.md:6"
"dtable","functions","Interpolation","web/src/docs/reference/interpolation/dtable.md","rich","","","docs/reference/interpolation/dtable.md:3;docs/reference/interpolation/dtable1.md:2"
"dtable1","functions","Interpolation","web/src/docs/reference/interpolation/dtable1.md","rich","","","docs/reference/interpolation/dtable1.md:2"
"lookup","functions","Interpolation","web/src/docs/reference/interpolation/lookup.md","stub","","",""
"lookuprow","functions","Interpolation","web/src/docs/reference/interpolation/lookuprow.md","reference","","",""
